qual,dp
3.1,36
3.46,36
3.23,201
3.24,7
3.53,8
3.89,4
3.19,9
3.29,62
3.42,2
3.62,8
3.19,12
3.05,19
3.2,10
3.41,213
3.2,5
3.8,14
3.13,4
3.82,6
3.39,17
3.78,9
3.1,3
3.23,26
3.98,7
3.66,8
3.23,23
3.62,3
3.64,76
3.52,73
3.93,11
3.04,6
3.81,8
3.86,31
3.27,16
3.7,22
3.42,10
3.45,28
3.1,3
3.35,14
3.39,17
3.99,35
3.99,97
3.81,14
3.67,7
3.36,7
3.62,8
3.29,9
3.87,35
3.25,12
3.43,6
3.56,4
3.69,6
3.14,12
3.32,12
3.32,5
3.03,17
3.07,33
3.35,161
3.46,35
3.55,16
3.66,12
3.24,13
3.95,4
3.01,7
3.2,4
3.91,227
3.87,47
3.51,6
3.57,8
3.94,103
3.57,6
3.18,11
3.22,14
3.62,18
3.97,10
3.75,29
3.75,51
3.54,12
3.04,169
3.15,26
3.87,37
3.95,12
3.38,10
3.26,105
3.81,18
3.9,8
3.08,14
3.91,161
3.34,20
3.77,12
3.14,33
3.65,14
3.28,29
3.67,4
3.86,7
3.61,12
3.88,6
3.55,11
3.27,6
3.9,11
3.93,11
3.97,6
3.13,4
3.63,92
3.33,61
3.39,9
3.42,10
3.3,12
3.11,7
3.59,59
3.24,22
3.85,19
3.25,6
3.83,112
3.19,26
3.58,137
3.5,19
3.4,10
3.93,38
3.75,5
3.77,19
3.71,24
3.24,36
3.1,18
3.33,10
3.4,8
3.68,19
3.5,14
3.86,55
3.64,17
3.12,14
3.23,104
3.15,7
3.17,9
3.38,8
3.94,107
3.63,5
3.97,14
3.16,7
3.29,8
3.98,4
3.63,4
3.4,48
3.52,23
3.33,7
3.98,8
3.11,34
3.69,5
3.61,19
3.63,4
3.47,45
3.15,9
3.85,24
3.11,14
3.57,12
3.88,6
3.26,6
3.62,3
3.18,9
3.72,17
3.84,6
3.24,7
3.21,26
3.42,13
3.72,21
3.51,11
3.07,14
3.93,5
3.54,24
3.22,40
3.31,7
3.49,21
3.27,5
3.69,32
3.14,5
3.65,8
3.42,35
3.81,17
3.02,7
3.1,43
3.05,12
3.93,63
3.08,86
3.66,5
3.87,9
3.99,11
3.79,4
3.83,4
3.91,26
3.24,6
3.63,4
3.18,31
3.4,9
3.59,14
3.4,83
3.26,27
3.15,5
3.76,28
3.26,38
3.62,26
3.37,7
3.13,64
3.36,12
3.73,14
3.14,8
3.25,3
3.43,33
3.11,6
3.79,3
3.5,12
3.01,6
3.92,55
3.88,6
3.96,16
3.13,11
3.67,109
3.03,8
3.2,168
3.93,13
3.08,6
3.23,13
3.27,73
3.85,64
3.13,4
3.81,6
3.17,25
3.38,7
3.18,10
3.82,101
3.42,4
3.99,3
3.6,38
3.74,8
3.87,13
3.81,171
3.45,5
3.13,19
3.21,46
3.51,14
3.58,23
3.34,6
3.28,7
3.83,4
3.84,3
3.87,9
3.17,7
3.95,37
3.35,52
3.09,18
3.25,6
3.36,14
3.56,2
3.79,4
3.81,114
3.05,18
3.49,25
3.37,3
3.67,5
3.09,52
3.32,16
3.71,7
3.78,16
3.7,17
3.43,10
3.41,12
3.16,10
3.9,27
3.47,7
3.67,5
3.25,35
3.17,58
3.83,5
3.74,8
3.33,29
3.97,18
3.19,11
3.96,10
3.82,9
3.02,6
3.43,6
3.81,5
3.64,34
3.84,25
3.39,167
3.43,13
3.07,33
3.99,7
3.15,4
3.18,56
3.33,29
3.56,17
3.77,67
3.36,9
3.75,12
3.41,58
3.21,522
3.54,32
3.34,15
3.82,9
3.13,8
3.73,13
3.36,8
3.54,48
3.65,5
3.21,3
3.74,10
3.53,114
3.29,4
3.03,226
3.68,6
3.47,7
3.09,3
3.59,94
3.81,14
3.67,8
3.76,13
3.55,10
3.88,32
3.03,23
3.37,175
3.75,48
3.8,16
3.94,8
3.56,2
3.01,38
3.22,6
3.28,76
3.13,19
3.06,36
3.48,5
3.9,9
3.85,29
3.46,11
3.53,35
3.72,37
3.31,46
3.08,41
3.77,91
3.72,3
3.16,5
3.71,10
3.08,115
3.5,15
3.61,11
3.88,8
3.55,6
3.39,4
3.95,8
3.99,28
3.31,9
3.57,30
3.88,37
3.4,50
3.58,59
3.75,9
3.86,6
3.55,6
3.49,23
3.15,274
3.25,4
3.14,7
3.03,2
3.9,28
3.11,49
3.2,29
3.74,10
3.44,6
3.77,12
3.18,6
3.47,11
3.75,26
3.86,13
3.38,7
3.9,16
3.58,30
3.57,28
3.44,7
3.26,6
3.21,12
3.11,2
3.12,17
3.34,55
3.99,6
3.77,8
3.54,12
3.13,20
3.8,5
3.87,5
3.38,9
3.84,84
3.87,22
3.88,108
3.49,12
3.38,8
3.16,34
3.67,81
3.9,10
3.51,35
3.08,18
3.69,15
3.58,147
3.5,260
3.05,113
3.38,463
3.25,14
3.39,47
3.61,9
3.66,6
3.8,105
3.45,51
3.04,52
3.5,10
3.64,10
3.51,57
3.37,107
3.56,82
3.34,8
3.8,16
3.37,7
3.43,59
3.49,10
3.09,12
3.2,34
3.71,21
3.5,51
3.17,45
3.56,29
3.44,7
3.03,27
3.83,48
3.68,34
3.27,20
3.14,72
3.1,68
3.38,10
3.48,133
3.06,24
3.36,16
3.39,45
3.16,7
3.99,4
3.56,13
3.99,9
3.18,58
3.5,10
3.03,2
3.75,23
3.8,21
3.02,5
3.28,10
3.99,2
3.87,59
3.8,7
3.2,8
3.16,5
3.7,24
3.43,36
3.81,9
3.76,11
3.47,5
3.86,26
3.83,8
3.88,21
3.05,18
3.62,11
3.93,5
3.02,16
3.18,117
3.16,10
3.5,93
3.55,3
3.09,8
3.59,22
3.08,52
3.5,19
3.76,19
3.91,27
3.07,12
3.2,19
3.78,4
3.55,44
3.2,4
3.84,10
3.72,11
3.69,101
3.95,11
3.15,4
3.12,5
3.49,42
3.64,5
3.04,6
3.85,6
3.36,11
3.95,31
3.54,144
3.54,42
3.6,20
3.46,7
3.29,16
3.16,8
3.57,10
3.57,58
3.09,5
3.54,11
3.5,78
3.88,31
3.33,10
3.85,9
3.44,7
3.98,21
3.99,7
3.28,68
3.1,61
3.97,29
3.2,41
3.38,11
3.15,12
3.39,14
3.25,35
3.62,9
3.85,14
3.27,3
3.1,5
3.68,58
3.99,7
3.35,157
3.33,9
3.23,30
3.12,11
3.25,31
3.38,7
3.63,77
3.24,28
3.7,19
3.84,39
3.43,18
3.85,19
3.45,179
3.19,75
3.63,4
3.53,13
3.09,25
3.86,7
3.37,48
3.33,9
3.41,15
3.73,20
3.77,13
3.26,12
3.31,6
3.16,26
3.95,5
3.23,13
3.35,5
3.37,7
3.23,14
3.41,8
3.13,6
3.43,14
3.28,3
3.86,10
3.12,7
3.55,16
3.87,10
3.25,4
3.33,14
3.03,8
3.48,12
3.94,17
3.67,6
3.85,11
3.23,5
3.26,158
3.79,7
3.65,108
3.71,33
3.61,47
3.69,13
3.34,47
3.25,12
3.88,8
3.67,6
3.15,5
3.74,29
3.6,6
3.47,8
3.3,8
3.79,47
3.25,52
3.21,159
3.98,29
3.57,65
3.81,5
3.15,9
3.28,67
3.87,9
3.13,5
3.49,51
3.81,5
3.41,19
3.25,10
3.58,22
3.11,88
3.27,43
3.81,5
3.89,3
3.45,246
3.11,34
3.03,31
3.94,10
3.4,19
3.87,168
3.28,4
3.42,100
3.55,5
3.46,6
3.58,19
3.87,5
3.53,14
3.5,11
3.25,4
3.88,14
3.04,59
3.46,44
3.9,32
3.28,8
3.08,69
3.45,8
3.32,5
3.23,5
3.28,17
3.55,5
3.91,17
3.26,9
3.73,64
3.03,2
3.67,16
3.44,16
3.63,9
3.41,10
3.67,126
3.34,37
3.67,34
3.16,6
3.03,10
3.9,7
3.64,33
3.86,18
3.26,56
3.09,42
3.42,10
3.42,65
3.49,10
3.18,127
3.11,7
3.86,6
3.86,32
3.15,3
3.1,11
3.87,32
3.64,12
3.76,13
3.26,9
3.28,13
3.87,5
3.36,8
3.84,39
3.3,113
3.79,12
3.67,40
3.58,56
3.05,9
3.03,21
3.26,5
3.72,6
3.45,11
3.41,28
3.94,17
3.98,65
3.13,7
3.33,9
3.82,6
3.07,22
3.53,39
3.66,98
3.63,9
3.85,36
3.18,19
3.43,8
3.14,6
3.04,25
3.64,38
3.44,5
3.75,20
3.67,5
3.58,22
3.28,15
3.28,54
3.53,13
3.69,22
3.54,7
3.96,112
3.68,394
3.07,17
3.8,8
3.67,12
3.81,3
3.11,10
3.66,7
3.54,9
3.77,20
3.62,3
3.36,9
3.94,21
3.96,28
3.62,6
3.38,14
3.1,57
3.99,7
3.02,36
3.98,10
3.78,104
3.85,6
3.02,13
3.48,11
3.44,19
3.84,6
3.9,46
3.8,75
3.48,18
3.24,19
3.64,16
3.38,6
3.81,36
3.01,63
3.69,14
3.15,15
3.19,7
3.52,6
3.84,5
3.74,9
3.98,6
3.46,20
3.88,59
3.2,4
3.02,6
3.49,108
3.31,5
3.36,12
3.14,4
3.05,8
3.97,5
3.94,6
3.97,10
3.28,7
3.56,17
3.74,15
3.31,15
3.37,27
3.94,51
3.11,25
3.71,23
3.28,208
3.69,12
3.5,22
3.56,32
3.53,7
3.04,6
3.36,13
3.25,10
3.71,9
3.88,9
3.07,7
3.92,6
3.72,9
3.41,50
3.36,13
3.62,9
3.17,11
3.99,4
3.58,14
3.82,158
3.57,108
3.81,8
3.15,4
3.04,7
3.91,19
3.15,3
3.32,7
3.03,5
3.65,24
3.29,105
3.6,40
3.59,13
3.69,3
3.36,7
3.8,8
3.51,52
3.7,37
3.2,54
3.33,15
3.26,27
3.41,64
3.25,40
3.08,11
3.39,96
3.84,20
3.73,15
3.16,10
3.07,75
3.54,24
3.97,27
3.48,87
3.17,6
3.27,10
3.58,20
3.85,13
3.89,24
3.06,80
3.78,3
3.69,18
3.63,6
3.55,6
3.26,42
3.79,6
3.56,2
3.53,6
3.8,8
3.97,46
3.21,7
3.3,6
3.42,5
3.3,9
3.64,4
3.36,10
3.74,110
3.1,4
3.1,33
3.38,8
3.58,7
3.47,10
3.73,8
3.3,13
3.36,9
3.01,17
3.46,26
3.93,17
3.34,32
3.37,12
3.49,45
3.77,13
3.63,4
3.05,13
3.61,11
3.68,6
3.9,14
3.62,36
3.55,28
3.25,9
3.56,10
3.36,10
3.05,66
3.23,161
3.57,6
3.15,265
3.21,13
3.91,94
3.26,21
3.35,7
3.17,19
3.28,15
3.27,32
3.4,6
3.42,7
3.45,94
3.82,26
3.26,16
3.98,102
3.65,8
3.25,12
3.37,32
3.3,17
3.75,4
3.87,9
3.18,12
3.75,55
3.9,11
3.39,9
3.64,101
3.34,17
3.92,79
3.13,4
3.75,22
3.68,75
3.12,75
3.36,18
3.9,43
3.45,13
3.99,4
3.43,22
3.09,9
3.57,189
3.4,13
3.65,52
3.33,87
3.88,16
3.99,12
3.82,22
3.81,11
3.64,20
3.48,5
3.69,45
3.56,2
3.63,3
3.27,62
3.53,58
3.47,37
3.28,30
3.16,7
3.33,13
3.49,49
3.31,21
3.83,10
3.76,11
3.83,6
3.12,22
3.47,5
3.17,14
3.26,49
3.21,9
3.45,5
3.09,3
3.49,22
3.11,25
3.16,28
3.55,15
3.38,4
3.12,78
3.32,39
3.03,105
3.53,31
3.56,122
3.56,8
3.75,4
3.59,50
3.07,11
3.17,4
3.18,13
3.19,32
3.73,36
3.37,7
3.58,10
3.35,132
3.02,9
3.11,44
3.44,10
3.75,4
3.09,5
3.45,36
3.91,17
3.03,26
3.95,39
3.99,28
3.1,69
3.92,19
3.92,14
3.69,41
3.3,9
3.8,16
3.81,99
3.4,14
3.94,5
3.47,32
3.38,11
3.75,114
3.61,31
3.26,10
3.39,6
3.87,34
3.42,4
3.29,6
3.93,5
3.47,82
3.11,11
3.08,28
3.49,14
3.33,16
3.44,104
3.15,3
3.09,22
3.81,7
3.62,10
3.24,15
3.44,5
3.62,53
3.79,11
3.23,8
3.71,40
3.44,7
3.35,23
3.11,2
3.58,41
3.79,70
3.65,15
3.18,20
3.04,8
3.95,14
3.71,14
3.11,25
3.28,12
3.65,55
3.15,20
3.04,28
3.52,11
3.42,2
3.12,9
3.29,6
3.72,9
3.3,14
3.49,24
3.27,5
3.5,73
3.37,12
3.25,31
3.33,14
3.31,5
3.77,42
3.72,21
3.8,15
3.49,10
3.99,6
3.31,5
3.3,21
3.1,28
3.6,19
3.65,11
3.43,5
3.46,21
3.04,42
3.4,27
3.64,2
3.48,6
3.97,9
3.49,5
3.65,42
3.28,5
3.14,4
3.38,7
3.31,28
3.29,39
3.95,14
3.87,5
3.12,10
3.27,62
3.26,23
3.53,7
3.95,8
3.36,11
3.33,18
3.8,80
3.81,8
3.8,46
3.52,54
3.72,87
3.06,6
3.15,34
3.89,26
3.56,2
3.11,22
3.74,13
3.82,45
3.62,36
3.69,17
3.03,44
3.99,41
3.71,36
3.71,44
3.78,3
3.41,6
3.06,5
3.93,4
3.65,5
3.11,2
3.78,3
3.66,9
3.72,9
3.64,9
3.56,6
3.38,37
3.58,13
3.23,28
3.15,60
3.29,3
3.47,11
3.14,16
3.86,55
3.11,10
3.8,17
3.22,34
3.16,18
3.17,24
3.03,13
3.64,28
3.93,6
3.75,10
3.22,30
3.03,11
3.16,6
3.32,7
3.29,97
3.43,11
3.73,161
3.1,19
3.55,14
3.61,11
3.32,9
3.15,4
3.36,12
3.58,13
3.69,5
3.58,8
3.87,12
3.99,10
3.57,10
3.22,32
3.57,10
3.72,10
3.09,86
3.79,11
3.69,5
3.8,6
3.99,17
3.6,28
3.79,225
3.98,97
3.25,10
3.85,6
3.56,7
3.91,26
3.73,35
3.67,91
3.38,18
3.34,9
3.75,45
3.9,5
3.9,26
3.17,14
3.32,15
3.83,20
3.71,6
3.26,46
3.28,7
3.29,56
3.14,8
3.86,96
3.62,42
3.14,32
3.41,24
3.57,7
3.68,534
3.18,29
3.87,35
3.5,25
3.11,120
3.59,11
3.99,2
3.09,13
3.67,6
3.89,11
3.44,84
3.42,3
3.69,262
3.8,10
3.86,7
3.91,197
3.91,89
3.7,24
3.18,72
3.14,22
3.03,6
3.12,11
3.64,42
3.4,9
3.09,16
3.66,72
3.4,26
3.08,8
3.83,13
3.64,60
3.46,12
3.18,26
3.24,5
3.77,13
3.71,14
3.46,9
3.67,17
3.3,56
3.27,149
3.74,67
3.2,66
3.95,30
3.87,17
3.22,14
3.02,8
3.69,4
3.49,5
3.59,10
3.44,4
3.69,68
3.61,7
3.67,13
3.05,57
3.9,33
3.65,50
3.26,22
3.77,5
3.22,8
3.48,51
3.86,8
3.61,16
3.58,14
3.85,12
3.75,8
3.3,113
3.83,13
3.7,249
3.99,17
3.52,27
3.76,94
3.33,169
3.85,23
3.15,33
3.94,22
3.3,19
3.67,4
3.01,5
3.04,3
3.62,6
3.03,22
3.25,29
3.82,4
3.52,11
3.97,21
3.37,9
3.85,8
3.51,24
3.44,7
3.75,98
3.03,2
3.81,74
3.58,100
3.91,22
3.48,18
3.26,31
3.13,6
3.02,15
3.77,28
3.02,5
3.48,54
3.02,8
3.64,76
3.56,10
3.63,26
3.44,46
3.39,85
3.01,47
3.18,28
3.25,16
3.97,8
3.54,19
3.1,8
3.34,9
3.16,10
3.9,12
3.36,32
3.81,16
3.73,7
3.43,11
3.22,16
3.95,83
3.41,87
3.5,23
3.64,25
3.48,116
3.21,11
3.09,2
3.05,15
3.36,47
3.86,11
3.19,10
3.3,8
3.99,6
3.12,65
3.16,6
3.47,11
3.24,134
3.12,12
3.82,20
3.95,14
3.82,17
3.18,18
3.64,11
3.12,20
3.39,23
3.02,10
3.43,49
3.85,4
3.38,47
3.65,18
3.43,5
3.42,2
3.57,18
3.69,7
3.98,30
3.63,19
3.89,139
3.77,35
3.59,11
3.05,9
3.18,27
3.73,14
3.8,43
3.8,7
3.17,46
3.49,8
3.32,5
3.58,13
3.27,5
3.37,15
3.1,27
3.99,2
3.54,8
3.29,6
3.4,9
3.78,3
3.15,25
3.84,23
3.81,8
3.46,17
3.86,14
3.5,10
3.92,7
3.99,32
3.43,19
3.06,143
3.31,32
3.13,4
3.51,10
3.55,4
3.75,24
3.94,16
3.53,11
3.86,105
3.02,13
3.96,9
3.12,6
3.55,14
3.67,29
3.75,144
3.93,15
3.87,64
3.79,11
3.93,21
3.56,33
3.73,8
3.16,7
3.98,27
3.02,21
3.84,13
3.27,88
3.51,28
3.55,7
3.11,4
3.99,19
3.74,7
3.69,5
3.37,9
3.06,17
3.64,10
3.17,37
3.26,16
3.53,12
3.53,25
3.93,7
3.29,2
3.08,47
3.89,147
3.35,111
3.65,15
3.67,68
3.03,2
3.29,61
3.77,28
3.58,13
3.37,5
3.13,20
3.03,2
3.65,14
3.16,16
3.02,6
3.06,39
3.56,11
3.83,12
3.55,9
3.28,12
3.69,4
3.43,6
3.59,22
3.5,12
3.32,108
3.62,4
3.46,6
3.15,65
3.6,15
3.11,8
3.61,9
3.74,21
3.8,10
3.93,48
3.57,20
3.35,10
3.88,96
3.42,2
3.04,10
3.5,19
3.41,13
3.42,5
3.03,45
3.7,8
3.8,34
3.3,3
3.5,16
3.55,9
3.31,102
3.12,6
3.24,7
3.83,13
3.47,15
3.52,75
3.08,33
3.67,42
3.4,5
3.63,39
3.57,12
3.72,16
3.25,7
3.8,50
3.79,30
3.45,10
3.56,14
3.93,11
3.74,68
3.81,19
3.25,15
3.21,33
3.89,49
3.02,6
3.93,4
3.28,45
3.96,22
3.49,14
3.49,81
3.25,17
3.84,25
3.96,6
3.85,7
3.25,18
3.52,4
3.07,73
3.3,13
3.7,12
3.95,6
3.13,5
3.27,26
3.7,32
3.36,4
3.19,21
3.31,124
3.18,10
3.28,9
3.24,31
3.1,9
3.82,10
3.56,9
3.98,30
3.71,6
3.25,10
3.9,11
3.06,19
3.6,43
3.16,18
3.21,158
3.61,4
3.14,47
3.39,6
3.07,12
3.77,18
3.81,4
3.59,5
3.31,6
3.7,5
3.75,63
3.93,25
3.02,5
3.56,19
3.11,6
3.98,15
3.86,7
3.79,19
3.55,15
3.5,6
3.45,384
3.44,7
3.06,55
3.43,92
3.58,10
3.27,27
3.62,7
3.94,6
3.48,25
3.14,11
3.18,169
3.16,19
3.44,13
3.99,5
3.57,8
3.56,16
3.5,94
3.19,14
3.55,10
3.89,8
3.17,32
3.08,54
3.41,45
3.06,9
3.01,10
3.54,7
3.96,9
3.69,14
3.96,10
3.85,9
3.57,10
3.23,11
3.41,34
3.38,5
3.08,14
3.32,4
3.26,5
3.52,83
3.65,12
3.25,23
3.08,27
3.26,275
3.03,3
3.7,15
3.17,58
3.71,7
3.16,12
3.33,10
3.54,6
3.63,5
3.28,64
3.15,6
3.67,26
3.52,62
3.14,4
3.38,9
3.14,60
3.45,25
3.28,4
3.18,5
3.46,17
3.43,14
3.64,9
3.76,19
3.47,31
3.02,44
3.31,10
3.54,38
3.02,13
3.71,9
3.48,7
3.41,10
3.96,20
3.24,5
3.95,14
3.32,7
3.55,9
3.05,9
3.42,2
3.13,8
3.87,13
3.65,25
3.01,8
3.87,10
3.02,7
3.09,13
3.88,61
3.55,9
3.99,5
3.91,41
3.01,30
3.45,17
3.83,7
3.18,11
3.24,14
3.8,139
3.1,23
3.04,18
3.71,9
3.03,59
3.36,12
3.55,26
3.94,21
3.7,4
3.12,29
3.77,24
3.58,75
3.03,16
3.98,28
3.81,6
3.97,5
3.08,179
3.1,14
3.68,6
3.25,65
3.92,82
3.14,19
3.07,14
3.28,27
3.69,8
3.44,53
3.15,15
3.29,9
3.06,542
3.69,137
3.67,7
3.67,33
3.22,111
3.16,25
3.37,8
3.31,5
3.89,17
3.71,23
3.38,9
3.48,13
3.64,110
3.84,19
3.34,283
3.86,21
3.18,5
3.54,14
3.87,51
3.16,21
3.02,13
3.39,38
3.13,35
3.63,34
3.54,97
3.24,53
3.34,8
3.79,12
3.86,23
3.43,5
3.34,12
3.38,31
3.87,10
3.91,7
3.21,122
3.34,10
3.19,16
3.36,59
3.12,5
3.15,20
3.3,58
3.75,10
3.83,19
3.99,44
3.83,118
3.03,56
3.09,17
3.17,12
3.43,27
3.66,63
3.05,5
3.8,4
3.12,26
3.44,17
3.8,13
3.7,92
3.37,15
3.43,5
3.44,60
3.65,6
3.28,6
3.2,4
3.38,10
3.33,36
3.69,6
3.7,85
3.54,20
3.79,16
3.4,10
3.29,11
3.81,14
3.16,4
3.03,3
3.48,34
3.81,15
3.36,5
3.08,46
3.46,17
3.04,4
3.83,4
3.82,3
3.35,20
3.66,5
3.69,6
3.21,129
3.38,5
3.36,49
3.59,17
3.71,6
3.99,3
3.16,7
3.87,28
3.15,4
3.52,67
3.83,40
3.12,17
3.42,10
3.12,4
3.63,9
3.05,80
3.49,97
3.06,51
3.04,7
3.57,15
3.28,167
3.73,24
3.8,30
3.43,9
3.33,9
3.39,55
3.06,6
3.84,5
3.05,5
3.38,5
3.06,20
3.4,18
3.17,53
3.28,7
3.88,11
3.17,39
3.63,3
3.56,8
3.5,83
3.51,27
3.96,113
3.72,39
3.42,7
3.4,21
3.66,30
3.84,35
3.04,54
3.45,21
3.17,25
3.7,4
3.38,8
3.26,8
3.35,11
3.35,18
3.13,38
3.97,67
3.63,14
3.02,6
3.07,13
3.45,8
3.45,5
3.16,7
3.51,16
3.51,10
3.13,7
3.16,5
3.57,7
3.91,8
3.23,7
3.38,55
3.19,116
3.96,15
3.78,33
3.55,24
3.91,32
3.32,13
3.4,18
3.42,3
3.17,8
3.31,47
3.24,3
3.55,5
3.42,11
3.22,16
3.44,21
3.04,37
3.34,3
3.06,17
3.42,12
3.26,151
3.32,6
3.87,87
3.23,6
3.54,8
3.08,47
3.84,7
3.58,50
3.07,17
3.04,20
3.43,6
3.31,21
3.46,6
3.63,24
3.51,7
3.39,48
3.99,4
3.9,75
3.2,4
3.87,5
3.44,8
3.78,62
3.8,21
3.34,15
3.62,2
3.04,7
3.09,46
3.52,52
3.82,65
3.7,84
3.44,75
3.46,6
3.64,41
3.49,8
3.11,7
3.88,35
3.7,9
3.93,273
3.25,12
3.24,27
3.67,32
3.94,5
3.89,12
3.43,10
3.8,14
3.8,14
3.63,3
3.63,41
3.57,17
3.34,6
3.37,25
3.96,23
3.13,156
3.15,12
3.75,274
3.91,9
3.27,28
3.89,22
3.43,12
3.12,124
3.9,51
3.83,4
3.19,8
3.54,62
3.83,31
3.99,35
3.3,55
3.25,6
3.72,7
3.14,5
3.05,46
3.28,6
3.36,60
3.76,5
3.17,229
3.66,94
3.78,3
3.23,20
3.6,44
3.47,30
3.95,61
3.75,10
3.73,23
3.13,4
3.13,66
3.57,24
3.97,127
3.29,4
3.66,13
3.8,5
3.54,93
3.61,18
3.12,19
3.83,15
